# EDCF-Shield PEM+HMAC  scenario=v2a
# key_mode=STOLEN_KEY(atk_has_key=1)
# CYCLE=this cycle window; CUMULATIVE=all cycles
# atk_count rows appear in order as you run each count
# External atk TN>0 FN=0=HMAC detects; Stolen TN=0 FN>0=HMAC blind
atk_count,atk_pct,cycle,row_type,t,TP,TN,FP,FN,Accuracy,MCC,FPR,F1,Precision,Recall,hmac_checks,hmac_detected,det_rate,fake_pkts,wrong_fm,cascade,topo_err,atk_rate,legit_total,legit_drop,PDR_pct,wifi_flood,wifi_legit,ch_load_pct
# --- atk_count=1  atk_pct=11.1%  nodes=9  key=STOLEN  scenario=v2a ---
1,11.1,1,CYCLE,4.50,27,0,0,6,0.818182,0.000000,0.000000,0.900000,1.000000,0.818182,33,0,0.0000,1,5,0,0,1.333,27,0,60.00,5,5,50.0000
1,11.1,1,CUMULATIVE,4.50,27,0,0,6,0.818182,0.000000,0.000000,0.900000,1.000000,0.818182,33,0,0.0000,1,5,0,0,1.333,27,0,60.00,5,5,50.0000
1,11.1,2,CYCLE,8.50,27,0,0,6,0.818182,0.000000,0.000000,0.900000,1.000000,0.818182,33,0,0.0000,1,5,0,0,0.706,27,0,60.00,5,5,50.0000
1,11.1,2,CUMULATIVE,8.50,54,0,0,12,0.818182,0.000000,0.000000,0.900000,1.000000,0.818182,66,0,0.0000,2,10,0,0,1.412,54,0,60.00,10,10,50.0000
# --- atk_count=3  atk_pct=27.3%  nodes=11  key=STOLEN  scenario=v2a ---
3,27.3,1,CYCLE,4.50,27,0,0,8,0.771429,0.000000,0.000000,0.870968,1.000000,0.771429,35,0,0.0000,3,5,0,0,1.778,27,0,53.33,7,5,58.3333
3,27.3,1,CUMULATIVE,4.50,27,0,0,8,0.771429,0.000000,0.000000,0.870968,1.000000,0.771429,35,0,0.0000,3,5,0,0,1.778,27,0,53.33,7,5,58.3333
3,27.3,2,CYCLE,8.50,27,0,0,8,0.771429,0.000000,0.000000,0.870968,1.000000,0.771429,35,0,0.0000,3,5,0,0,0.941,27,0,53.33,7,5,58.3333
3,27.3,2,CUMULATIVE,8.50,54,0,0,16,0.771429,0.000000,0.000000,0.870968,1.000000,0.771429,70,0,0.0000,6,10,0,0,1.882,54,0,53.33,14,10,58.3333
# --- atk_count=5  atk_pct=38.5%  nodes=13  key=STOLEN  scenario=v2a ---
5,38.5,1,CYCLE,4.50,27,0,0,10,0.729730,0.000000,0.000000,0.843750,1.000000,0.729730,37,0,0.0000,5,5,0,0,2.222,27,0,48.57,9,5,64.2857
5,38.5,1,CUMULATIVE,4.50,27,0,0,10,0.729730,0.000000,0.000000,0.843750,1.000000,0.729730,37,0,0.0000,5,5,0,0,2.222,27,0,48.57,9,5,64.2857
5,38.5,2,CYCLE,8.50,27,0,0,10,0.729730,0.000000,0.000000,0.843750,1.000000,0.729730,37,0,0.0000,5,5,0,0,1.176,27,0,48.57,9,5,64.2857
5,38.5,2,CUMULATIVE,8.50,54,0,0,20,0.729730,0.000000,0.000000,0.843750,1.000000,0.729730,74,0,0.0000,10,10,0,0,2.353,54,0,48.57,18,10,64.2857
# --- atk_count=8  atk_pct=50.0%  nodes=16  key=STOLEN  scenario=v2a ---
8,50.0,1,CYCLE,4.50,27,0,0,13,0.675000,0.000000,0.000000,0.805970,1.000000,0.675000,40,0,0.0000,8,5,0,0,2.889,27,0,43.53,12,5,70.5882
8,50.0,1,CUMULATIVE,4.50,27,0,0,13,0.675000,0.000000,0.000000,0.805970,1.000000,0.675000,40,0,0.0000,8,5,0,0,2.889,27,0,43.53,12,5,70.5882
8,50.0,2,CYCLE,8.50,27,0,0,13,0.675000,0.000000,0.000000,0.805970,1.000000,0.675000,40,0,0.0000,8,5,0,0,1.529,27,0,43.53,12,5,70.5882
8,50.0,2,CUMULATIVE,8.50,54,0,0,26,0.675000,0.000000,0.000000,0.805970,1.000000,0.675000,80,0,0.0000,16,10,0,0,3.059,54,0,43.53,24,10,70.5882
# --- atk_count=10  atk_pct=55.6%  nodes=18  key=STOLEN  scenario=v2a ---
10,55.6,1,CYCLE,4.50,27,0,0,15,0.642857,0.000000,0.000000,0.782609,1.000000,0.642857,42,0,0.0000,10,5,0,0,3.333,27,0,41.05,14,5,73.6842
10,55.6,1,CUMULATIVE,4.50,27,0,0,15,0.642857,0.000000,0.000000,0.782609,1.000000,0.642857,42,0,0.0000,10,5,0,0,3.333,27,0,41.05,14,5,73.6842
10,55.6,2,CYCLE,8.50,27,0,0,15,0.642857,0.000000,0.000000,0.782609,1.000000,0.642857,42,0,0.0000,10,5,0,0,1.765,27,0,41.05,14,5,73.6842
10,55.6,2,CUMULATIVE,8.50,54,0,0,30,0.642857,0.000000,0.000000,0.782609,1.000000,0.642857,84,0,0.0000,20,10,0,0,3.529,54,0,41.05,28,10,73.6842
